description,category,service_id,service_name
عندي مشكلة: الفرامل بتصفر لما بدوسها,brakes,3,إصلاح الفرامل
محتاج مساعدة، عربيتي مش بتشتغل,starting,13,إصلاح مشاكل التشغيل
مستوى مية التبريد واطي,cooling,10,إصلاح نظام التبريد
محتاج مساعدة، العربيه بتفصل لحظه وبعدين ترجع,engine,11,فحص المحرك الإلكتروني
في طرطقه في العربيه,suspension,6,إصلاح نظام التعليق
محتاج مساعدة، الدركسيون بقى فيه رعشة,steering,7,إصلاح نظام التوجيه
في زن بيزيد مع السرعة,tires,4,تغيير إطارات
العربيه بتعمل طقطقه من تحت العربيه,suspension,6,إصلاح نظام التعليق
العربية بترتعش لما فرملت، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
محتاج مساعدة، بترج على سرعة 80,alignment_balancing,5,ضبط الزوايا والتوازن
في زنه مستمره وانا ماشي، ممكن تساعدني؟,tires,4,تغيير إطارات
العربية بتاعتي، العربية بتتزلزل على الطريق الوعر,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، العربية بتهز لما بعدي على مطب,suspension,6,إصلاح نظام التعليق
بترعش لما افرمل,brakes,3,إصلاح الفرامل
العربيه بترعش عند الفرمله,brakes,3,إصلاح الفرامل
على السرعات العالية في رعشة في العربية,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: الموكيت محتاج غسيل,cleaning,16,تنظيف وتلميع السيارة
العربية بتاعتي، الفرامل مش بتأثر,brakes,3,إصلاح الفرامل
العربية بتاعتي، الموتور بيرج شويه في الطلعه,engine,11,فحص المحرك الإلكتروني
بترعش شارع مكسر,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، لما بفرمل العربية بترج,brakes,3,إصلاح الفرامل
العربية بتاعتي، الموتور بيرعش لما ادور العربية,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، عايز أغير زيت العربية,oil_change,1,تغيير زيت المحرك
العربية بتعمل زنة من تحت، ممكن تساعدني؟,tires,4,تغيير إطارات
العربية بتاعتي، العربية سحبها بقى ضعيف,engine,11,فحص المحرك الإلكتروني
محتاج صيانة مكيف، ممكن تساعدني؟,ac,9,فحص وإصلاح المكيف
عندي مشكلة: التكييف بيشتغل بس مش بارد,ac,9,فحص وإصلاح المكيف
عندي مشكلة: العربيه بترج لما ازود السرعه,alignment_balancing,5,ضبط الزوايا والتوازن
مش شايلة وانا دايس الغاز,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، في رعشة لما بعدي 80,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، العربية بتطلع ريحة شياط,exhaust,12,إصلاح نظام العادم
محتاج مساعدة، العربية بتتحرك كويس لكن صوتها بقى أعلى شوية,engine,11,فحص المحرك الإلكتروني
العربية بترتعش لما افرمل,brakes,3,إصلاح الفرامل
العربية بطيئة في الاستجابة، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية وقفت وما قامتش,starting,13,إصلاح مشاكل التشغيل
محتاج مساعدة، الإطارات بالية,tires,4,تغيير إطارات
عندي مشكلة: في صوت زن من ناحية العجل,tires,4,تغيير إطارات
محتاج مساعدة، العربيه سحبها ضعيف رغم اني دايس بنزين,engine,11,فحص المحرك الإلكتروني
في طقطقه خفيفه في العربيه، ممكن تساعدني؟,suspension,6,إصلاح نظام التعليق
محتاج مساعدة، لما ادوس بنزين في تأخير,engine,11,فحص المحرك الإلكتروني
العربيه بترعش وانا لما فرملت,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربيه بتتحرك بسلاسه اقل,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العجلة بتخبط,tires,4,تغيير إطارات
العربية بتاعتي، العربية بتوقف لوحدها في الزحمة,engine,11,فحص المحرك الإلكتروني
العربية بترزع وبتتهبد على أي حفرة,suspension,6,إصلاح نظام التعليق
العربية بتميل على جنب وأنا ماشي، ممكن تساعدني؟,alignment_balancing,5,ضبط الزوايا والتوازن
محتاج مساعدة، العربية بتتعب لما ادوس بنزين,engine,11,فحص المحرك الإلكتروني
في صوت طق من تحت العربيه,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، في طقطقه لما اعدي على مطب,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، الدركسيون بيرعش على السرعة,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتبطل مني على الأتوستراد، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، لمبة الحرارة ولعت,cooling,10,إصلاح نظام التبريد
العربيه بترج لما ازود السرعه,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتزعق لما اطلع طلعة,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الفريون بتاع المكيف ناقص,ac,9,فحص وإصلاح المكيف
النور الداخلي مش شغال,electrical,14,إصلاح الكهرباء
في صوت زي الزنة وانا ماشي,tires,4,تغيير إطارات
عندي مشكلة: العربيه بترج وانا دايس فرامل,brakes,3,إصلاح الفرامل
العربية بتاعتي، في بخار من الشكمان,exhaust,12,إصلاح نظام العادم
محتاج مساعدة، الزجاج وسخ,cleaning,16,تنظيف وتلميع السيارة
العربية بتاعتي، العربية ريحتها بنزين قوي,exhaust,12,إصلاح نظام العادم
العربية بتاعتي، الفرامل بتعمل رج لما بدوسها,brakes,3,إصلاح الفرامل
فين أنتم,unknown,17,غير ذلك
في هزه فوق الـ80، ممكن تساعدني؟,alignment_balancing,5,ضبط الزوايا والتوازن
محتاج مساعدة، العربية ماشية كويس بس صوتها بقى أعلى,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، الفتيس بيتنتش لما انقل,transmission,8,إصلاح ناقل الحركة
محتاج مساعدة، سحبها وحش حتى لو دايس بنزين,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الفرامل بتعمل صفير,brakes,3,إصلاح الفرامل
عندي مشكلة: العربية بترج بفرمل,brakes,3,إصلاح الفرامل
محتاج مساعدة، الزيت لونه اتغير وبقى أسود,oil_change,1,تغيير زيت المحرك
عندي مشكلة: العربيه بترج خفيف في الطلعه,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العربية لما تسخن بتبقى أبطأ,cooling,10,إصلاح نظام التبريد
العربية بترج بقوة لما افرمل,brakes,3,إصلاح الفرامل
الموتور بيطفى لوحده وأنا على الطريق,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العربية بتتمرجح في الملفات,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، العربيه بتهز على الطريق السريع,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، في صوت عالي من الموتور في الطلعة,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية بقت تحسها مش ناعمة,engine,11,فحص المحرك الإلكتروني
لما افرمل فجاه في رجه,brakes,3,إصلاح الفرامل
الفرامل بتعمل صوت صرير,brakes,3,إصلاح الفرامل
عندي مشكلة: في صوت عالي من الموتور في الطلعة,engine,11,فحص المحرك الإلكتروني
العربيه بترج عند الفرمله,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربيه بتتحرك ببطء اول ما امشي,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في صوت في الشاصي,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، العربية بتفصل وبتشتغل من غير سبب,engine,11,فحص المحرك الإلكتروني
الموتور بيعلو في الحرارة، ممكن تساعدني؟,cooling,10,إصلاح نظام التبريد
العربية بتاعتي، العربية بتتمرجح في الملفات,suspension,6,إصلاح نظام التعليق
الموتور صوته غريب عن الطبيعي,engine,11,فحص المحرك الإلكتروني
العربيه مش بتسحب وانا دايس كامل,engine,11,فحص المحرك الإلكتروني
العربية بتخبط بعد سرعة 100,alignment_balancing,5,ضبط الزوايا والتوازن
لمبة الـ check engine اشتعلت، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية في رج وانا الفرملة، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
عندي مشكلة: في ريحة مش كويسة طالعة من العربية,exhaust,12,إصلاح نظام العادم
الزيت بيطلع من الصومعة,oil_leak,2,إصلاح تسريب الزيت
العربيه في هزه بفرمل,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربية مش بتقوم,starting,13,إصلاح مشاكل التشغيل
في رجرجه لما اهدى السرعه,alignment_balancing,5,ضبط الزوايا والتوازن
الدركسيون بيعمل تزييق,steering,7,إصلاح نظام التوجيه
العربية بتبقى تقيلة أول ما اتحرك بيها، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الجيرة مش بتدخل,transmission,8,إصلاح ناقل الحركة
عندي مشكلة: العربية بتفصل لوحدها وأنا واقف,engine,11,فحص المحرك الإلكتروني
العربيه بترعش في مطب,suspension,6,إصلاح نظام التعليق
عندي مشكلة: العربية ماشية مش على طول,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: في رعشة في الموتور أول ما اشغل العربية,engine,11,فحص المحرك الإلكتروني
العربية بتزعق لما اطلع طلعة، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: الموتور بيرج لما العربية باردة,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في صوت من العادم,exhaust,12,إصلاح نظام العادم
عندي مشكلة: الفتيس بيتنتش لما انقل الجيره,transmission,8,إصلاح ناقل الحركة
ريحة سلوك محروقة من العربية، ممكن تساعدني؟,electrical,14,إصلاح الكهرباء
عندي مشكلة: في صفير من الكاوتش,tires,4,تغيير إطارات
العربية صوتها بيزيد لما اطلع مطلع,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، النور الواطي مش شغال صح,electrical,14,إصلاح الكهرباء
عندي مشكلة: الصبح مش بتشتغل من أول مرة,starting,13,إصلاح مشاكل التشغيل
محتاج مساعدة، العربية بتتهز جامد بعد التسعين,alignment_balancing,5,ضبط الزوايا والتوازن
بترعش لما فرملت، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية بترج عند الفرامل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
محتاج مساعدة، في بخار أبيض من تحت الكبوت,cooling,10,إصلاح نظام التبريد
العربية بتتعب لما ادوس بنزين، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربيه في هزه شايل فرامل,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربية مش ثابتة لما اجري بيها,alignment_balancing,5,ضبط الزوايا والتوازن
البطارية فضت وأنا على الطريق,battery,15,إصلاح البطارية
الفرامل بتطط,brakes,3,إصلاح الفرامل
الجسم فيه خدوش، ممكن تساعدني؟,cleaning,16,تنظيف وتلميع السيارة
بترعش الفرملة، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية بتاعتي، ريحة غاز محروق في العربية,exhaust,12,إصلاح نظام العادم
العربيه بتتهز لما بفرمل,brakes,3,إصلاح الفرامل
محتاج مساعدة، في احتكاك لما بفرمل,brakes,3,إصلاح الفرامل
بترتعش عند الفرامل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربية بتفصل وأنا واقف على النور,engine,11,فحص المحرك الإلكتروني
العربية بتطفى لما اشغل المكيف,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية بتهز لما تشتغل وهي باردة,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية وقفت فجأة وأنا بسوق,engine,11,فحص المحرك الإلكتروني
العربية سحبها بقى ضعيف,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: الموتور بيقطع وأنا ماشي,engine,11,فحص المحرك الإلكتروني
العربية بتعمل طقطقة من تحت العربية,suspension,6,إصلاح نظام التعليق
عندي مشكلة: في بقعة زيت كبيرة تحت العربية,oil_leak,2,إصلاح تسريب الزيت
محتاج مساعدة، الموتور بيرج لما اشغله وهو بارد,engine,11,فحص المحرك الإلكتروني
في صوت عالي من الموتور في الطلعة,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في صوت غريب من الموتور على السرعات المنخفضة,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الأنوار الأمامية ضعيفة,electrical,14,إصلاح الكهرباء
الفتيس الأتوماتيك بيتأخر في النقل، ممكن تساعدني؟,transmission,8,إصلاح ناقل الحركة
العربية بتدور بالعافية، ممكن تساعدني؟,starting,13,إصلاح مشاكل التشغيل
العربية بتاعتي، الاستجابة بطيئة لما ادوس بنزين,engine,11,فحص المحرك الإلكتروني
العربية بتهز لما بعدي على مطب، ممكن تساعدني؟,suspension,6,إصلاح نظام التعليق
النور الواطي ضعيف,electrical,14,إصلاح الكهرباء
العربية بتاعتي، في صوت غريب لما العربية تسخن,cooling,10,إصلاح نظام التبريد
العربية بترج وانا بفرمل,brakes,3,إصلاح الفرامل
العربية ساعات بتبطل لوحدها,starting,13,إصلاح مشاكل التشغيل
محتاج مساعدة، لما اهدي السرعة العربية بتطفى,engine,11,فحص المحرك الإلكتروني
في رعشة في العربية لما افرمل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربيه سحبها ضعيف رغم اني دايس بنزين,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربيه بتزن باستمرار,tires,4,تغيير إطارات
محتاج مساعدة، الفتيس بيعمل نتش لما انقل,transmission,8,إصلاح ناقل الحركة
محتاج مساعدة، الإضاءة الأمامية ضعيفة,electrical,14,إصلاح الكهرباء
عندي مشكلة: استهلاك البنزين زاد كتير,engine,11,فحص المحرك الإلكتروني
في صوت عالي مش طبيعي من العربية,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية بتمشي معوجة,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، العربية بتنتش لما ازود بنزين,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: الكمبريسور واقف,ac,9,فحص وإصلاح المكيف
عندي مشكلة: العربية ماشية كويس بس الصوت بقى مختلف,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العربيه فيها تزييق,steering,7,إصلاح نظام التوجيه
عندي مشكلة: الموتور بيقفل لما اشغل التكييف,engine,11,فحص المحرك الإلكتروني
العربية صوتها عالي مش طبيعي، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية بتطفى مني في الزحمة,starting,13,إصلاح مشاكل التشغيل
الموتور بيقطع لما ادوس الغاز بسرعة,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: الموتور بيرج لما اشغله وهو بارد,engine,11,فحص المحرك الإلكتروني
يلا,unknown,17,غير ذلك
عندي مشكلة: الهواء من المكيف دافي,ac,9,فحص وإصلاح المكيف
العربية بتاعتي، العربية بتهز فوق 90,alignment_balancing,5,ضبط الزوايا والتوازن
الفرامل مش بتأثر، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية بتاعتي، المكيف بيعمل صوت غريب,ac,9,فحص وإصلاح المكيف
الدركسيون تقيل، ممكن تساعدني؟,steering,7,إصلاح نظام التوجيه
العربية بتاعتي، كل حاجة تمام في العربية,unknown,17,غير ذلك
بتدبدب بعد سرعة 100,alignment_balancing,5,ضبط الزوايا والتوازن
العربيه بترج بعد سرعه 90,alignment_balancing,5,ضبط الزوايا والتوازن
الفرامل مبتشيلش,brakes,3,إصلاح الفرامل
البطارية مش بتخلي العربية تشتغل,battery,15,إصلاح البطارية
محتاج مساعدة، لمبة الحرارة ولعت,cooling,10,إصلاح نظام التبريد
عندي مشكلة: المكيف بيعمل صوت غريب,ac,9,فحص وإصلاح المكيف
عندي مشكلة: الكاوتش انفجر وأنا ماشي,tires,4,تغيير إطارات
في صوت زنة بيظهر لما السرعة تعلى,tires,4,تغيير إطارات
محتاج مساعدة، دايس بنزين والعربية مش شايلة,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، النور الواطي ضعيف,electrical,14,إصلاح الكهرباء
العربية بتاعتي، العربيه بترزع على المطبات,suspension,6,إصلاح نظام التعليق
دايس بنزين والعربية مش شايلة، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية بترج بقوة لما افرمل,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربية كانت بتسخن وبعدين وقفت,cooling,10,إصلاح نظام التبريد
العربيه بترج بفرمل,brakes,3,إصلاح الفرامل
محتاج مساعدة، في صوت غريب من الفتيس,transmission,8,إصلاح ناقل الحركة
العربية صوتها عالي في المطلع,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الفتيس بيرفض ينقل,transmission,8,إصلاح ناقل الحركة
عندي مشكلة: في صوت حكه وانا ماشي ببطء,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربية بتتحرك بتقل شوية,engine,11,فحص المحرك الإلكتروني
في ضجيج من الموتور، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، الموتور بيطفى لوحده وأنا بسوق,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، زنه مستمره مع المشي,tires,4,تغيير إطارات
لما الموتور يسخن العربية بتتعب، ممكن تساعدني؟,cooling,10,إصلاح نظام التبريد
عايز أطبخ,unknown,17,غير ذلك
محتاج مساعدة، العربيه بتدور بالعافيه,starting,13,إصلاح مشاكل التشغيل
في زنة من العجل الأمامي,tires,4,تغيير إطارات
ريحة احتراق من العربية، ممكن تساعدني؟,exhaust,12,إصلاح نظام العادم
في اهتزاز بيظهر فجأة في الموتور، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
البطارية مش بتشحن، ممكن تساعدني؟,battery,15,إصلاح البطارية
العربية بتميل لجنب وأنا ماشي,alignment_balancing,5,ضبط الزوايا والتوازن
في صوت لما بلف الدركسيون,steering,7,إصلاح نظام التوجيه
العربيه بتخبط بعد سرعه 100,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: في صوت خبطة من العفشة على المطبات,suspension,6,إصلاح نظام التعليق
محتاج مساعدة، في صوت تزييق لما بلف الدركسيون,steering,7,إصلاح نظام التوجيه
محتاج مساعدة، المكيف مش نافع,ac,9,فحص وإصلاح المكيف
الفرامل بتسخن، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربية بتتهز جامد بعد التسعين,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: في صوت زعيق من الدركسيون,steering,7,إصلاح نظام التوجيه
العربية بتاعتي، المقود بيهز لما بوصل سرعة معينة,alignment_balancing,5,ضبط الزوايا والتوازن
العربية مش راضية تدور,starting,13,إصلاح مشاكل التشغيل
العربية بترتعش بسرعة,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: العربيه مش قايمه,starting,13,إصلاح مشاكل التشغيل
العربية بتاعتي، في دخان أبيض خفيف من الشكمان الصبح,exhaust,12,إصلاح نظام العادم
محتاج مساعدة، العربية بتتهز جامد بعد التسعين,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: الموتور بيرج لما يشتغل تحت حمل,engine,11,فحص المحرك الإلكتروني
في صوت غريب على سرعه قليله، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في تقطيع لما ادوس البنزين,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، عايز ألمع العربية,cleaning,16,تنظيف وتلميع السيارة
العربية بتاعتي، في طرطقة وهزة في العربية,suspension,6,إصلاح نظام التعليق
عندي مشكلة: العربية مش بتشتغل كل مرة,starting,13,إصلاح مشاكل التشغيل
محتاج مساعدة، الدركسيون بيهز لما اجري,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: الموتور صوته بيعلى في الطلعة,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربيه بترج خفيف في الطلعه,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: في حكة بتظهر لما امشي ببطء,brakes,3,إصلاح الفرامل
محتاج مساعدة، حرارة الموتور بتعلى,cooling,10,إصلاح نظام التبريد
العربيه فيها تزييق,steering,7,إصلاح نظام التوجيه
العربية ساعات مبتدورش من أول مرة,starting,13,إصلاح مشاكل التشغيل
في صوت احتكاك لما الفرامل تشتغل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
محتاج مساعدة، الموتور بيرج لما اشغل العربية وهي باردة,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية ببطء في البداية,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية مكتومة ومش شايلة حتى مع البنزين,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية في رعشة وانا عند الفرامل,brakes,3,إصلاح الفرامل
العربية بترج لما بفرمل,brakes,3,إصلاح الفرامل
العربية بتاعتي، مضخة المية خربانة,cooling,10,إصلاح نظام التبريد
العربية بتاعتي، العربية بتنهج لما اجري,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية بتتهز وهي واقفة,engine,11,فحص المحرك الإلكتروني
العربية مكتومة ومش شايلة حتى مع البنزين,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: الموتور بيطفى لوحده وأنا على الطريق,engine,11,فحص المحرك الإلكتروني
في الملفات العربية مش ثابتة,alignment_balancing,5,ضبط الزوايا والتوازن
العربيه بتتهز وانا عند الفرامل,brakes,3,إصلاح الفرامل
محتاج مساعدة، الحركة مش ناعمة,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية ساعات بتدور وساعات لا,starting,13,إصلاح مشاكل التشغيل
العربية بتسخن في الزحمة,cooling,10,إصلاح نظام التبريد
بتهز بعد سرعة 100,alignment_balancing,5,ضبط الزوايا والتوازن
العربية مش بتشد لما ادوس بنزين,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في صوت حكة وانا ماشي ببطء,brakes,3,إصلاح الفرامل
عايز أتكلم مع حد,unknown,17,غير ذلك
عندي مشكلة: العربية صوتها بيزيد لما اطلع مطلع,engine,11,فحص المحرك الإلكتروني
العربية بتتأخر لما احاول ازود السرعة، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية بتهز لما اعدي 90,alignment_balancing,5,ضبط الزوايا والتوازن
محتاج مساعدة، في طنطنة في العربية على السرعة,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، في رعشة في العربية على السرعات العالية,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، العربية بترج لما امشي بسرعة,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتتهز عند الفرامل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
محتاج مساعدة، المكيف بيعمل صوت طق,ac,9,فحص وإصلاح المكيف
العربية بتاعتي، الموتور بيوقف لحظة وبعدين يرجع تاني,engine,11,فحص المحرك الإلكتروني
الموتور مش شغال صح,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية بترزع لما امشي في شارع مكسر,suspension,6,إصلاح نظام التعليق
عندي مشكلة: العربية بتتهز على السرعات العالية,alignment_balancing,5,ضبط الزوايا والتوازن
في صوت طقطقة لما العربية بتتحرك، ممكن تساعدني؟,suspension,6,إصلاح نظام التعليق
العربية بتتهز خفيف في أي طلعة,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، في اهتزاز في الموتور وأنا واقف,engine,11,فحص المحرك الإلكتروني
الفتيس بيعمل نتش لما انقل الجيره,transmission,8,إصلاح ناقل الحركة
المكيف محتاج فريون، ممكن تساعدني؟,ac,9,فحص وإصلاح المكيف
في صوت مش طبيعي من الموتور لما امشي ببطء، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الكاوتش فيه شق,tires,4,تغيير إطارات
في رج لما بدوس الفرامل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
عندي مشكلة: الموتور بيدور بالعافيه,starting,13,إصلاح مشاكل التشغيل
العربية بتتهز وانا الفرملة,brakes,3,إصلاح الفرامل
في ريحة زيت تحت العربية، ممكن تساعدني؟,oil_leak,2,إصلاح تسريب الزيت
محتاج مساعدة، العربية ساعات بتتأخر في الدوارة الصبح,engine,11,فحص المحرك الإلكتروني
العربية بتهز بسرعة,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، الموتور بيفرفر,engine,11,فحص المحرك الإلكتروني
التكييف مش بيشتغل,ac,9,فحص وإصلاح المكيف
البطارية مش بتديني الوقت,battery,15,إصلاح البطارية
محتاج مساعدة، عندي مشكلة العربية صوتها عالي لما بتشتغل,engine,11,فحص المحرك الإلكتروني
في رج لما بدوس الفرامل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية بتاعتي، في صوت غريب لما العربيه تسخن,cooling,10,إصلاح نظام التبريد
العجلة بتعمل صوت زن,tires,4,تغيير إطارات
العربية بتعمل صوت طقطقة خفيف على المطبات,suspension,6,إصلاح نظام التعليق
الزيت بيتسرب من الموتور,oil_leak,2,إصلاح تسريب الزيت
عندي مشكلة: في صوت صفارة حادة لما بفرمل,brakes,3,إصلاح الفرامل
عندي مشكلة: الأتوماتيك فيه مشكله,transmission,8,إصلاح ناقل الحركة
الفرامل بتعمل رجة لما تفرمل فجأة,brakes,3,إصلاح الفرامل
في ريحة بلاستيك محروق، ممكن تساعدني؟,electrical,14,إصلاح الكهرباء
العربية صوتها بيكبر لما اطلع مطلع,engine,11,فحص المحرك الإلكتروني
الموتور بيهز العربية,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الشكمان بيطلع دخان,exhaust,12,إصلاح نظام العادم
محتاج مساعدة، العجل مش متوازن,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، العربية بتهبد لما أعدي على حفرة,suspension,6,إصلاح نظام التعليق
الكتالتيك فيه مشكلة,exhaust,12,إصلاح نظام العادم
عندي مشكلة: العربية بتهز لما اعدي 100,alignment_balancing,5,ضبط الزوايا والتوازن
محتاج مساعدة، محتاج أغير زيت المحرك,oil_change,1,تغيير زيت المحرك
العربية مش بتستجيب لما بدورها,starting,13,إصلاح مشاكل التشغيل
العربية بتاعتي، في رجرجة بتحصل لما اهدى السرعة,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتزن، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، التهبيد جامد من الأمام,suspension,6,إصلاح نظام التعليق
العربية محتاجة جلي، ممكن تساعدني؟,cleaning,16,تنظيف وتلميع السيارة
عندي مشكلة: الموتور بيرعش لما اشغله وهو بارد,engine,11,فحص المحرك الإلكتروني
مستوى مية التبريد واطي، ممكن تساعدني؟,cooling,10,إصلاح نظام التبريد
العربية صوتها عالي لما بتشتغل، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
البطارية ضعيفة,battery,15,إصلاح البطارية
طق من العفشة,suspension,6,إصلاح نظام التعليق
عندي مشكلة: العربيه بتعمل زنه مستمره,tires,4,تغيير إطارات
عندي مشكلة: لقيت بقعة زيت تحت العربية الصبح,oil_leak,2,إصلاح تسريب الزيت
صوت طقطقة من العفشة,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، في ريحة بنزين في العربية,exhaust,12,إصلاح نظام العادم
عندي مشكلة: في طقطقة من التعليق على المطبات,suspension,6,إصلاح نظام التعليق
العربية بتبطل مني وأنا بسوق، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتترجرج وانا ماشي,suspension,6,إصلاح نظام التعليق
العربية في رج دايس فرامل,brakes,3,إصلاح الفرامل
العربية مش بتجري كويس، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بترعش على السرعة، ممكن تساعدني؟,alignment_balancing,5,ضبط الزوايا والتوازن
العربية مش قادرة تطلع المطلع، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، مستوى مية التبريد واطي,cooling,10,إصلاح نظام التبريد
بتهز بفرمل,brakes,3,إصلاح الفرامل
العربية بتاعتي، لمبة الفرامل اشتعلت,brakes,3,إصلاح الفرامل
